"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
2006,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"","",TRUE,"total",127,165841,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"Jo Bonner","republican",FALSE,"total",112944,165841,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"Vivian Sheffield Beckerle","democrat",FALSE,"total",52770,165841,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"","",TRUE,"total",167,178919,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Charles (Chuck) Dean James","democrat",FALSE,"total",54450,178919,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Terry Everett","republican",FALSE,"total",124302,178919,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"","",TRUE,"total",71,165301,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Greg A. Pierce","democrat",FALSE,"total",63559,165301,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Mark Edwin Layfield","independent",FALSE,"total",3414,165301,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Mike Rogers","republican",FALSE,"total",98257,165301,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"","",TRUE,"total",206,183072,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Barbara Bobo","democrat",FALSE,"total",54382,183072,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Robert B. Aderholt","republican",FALSE,"total",128484,183072,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"","",TRUE,"total",2540,145555,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Robert E. (Bud) Cramer, Jr.","democrat",FALSE,"total",143015,145555,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"","",TRUE,"total",2786,166300,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Spencer Bachus","republican",FALSE,"total",163514,166300,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"","",TRUE,"total",1294,135164,FALSE,20171005
2006,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Artur Davis","democrat",FALSE,"total",133870,135164,FALSE,20171005
2006,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"","",TRUE,"total",560,234645,FALSE,20171005
2006,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Alexander Crawford","libertarian",FALSE,"total",4029,234645,FALSE,20171005
2006,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Diane E. Benson","democrat",FALSE,"total",93879,234645,FALSE,20171005
