"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
2000,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Barry J. Hess II","libertarian",FALSE,"total",70724,1397076,FALSE,20171011
2000,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Jon Kyl","republican",FALSE,"total",1108196,1397076,FALSE,20171011
2000,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Vance Hansen","green",FALSE,"total",108926,1397076,FALSE,20171011
2000,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"William Toel","independent",FALSE,"total",109230,1397076,FALSE,20171011
2000,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Brian M. Rees","natural law",FALSE,"total",58537,10623608,FALSE,20171011
2000,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Diane Beall Templin","american independent",FALSE,"total",134598,10623608,FALSE,20171011
2000,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Dianne Feinstein","democrat",FALSE,"total",5932522,10623608,FALSE,20171011
2000,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Gail Katherine Lightfoot","libertarian",FALSE,"total",187718,10623608,FALSE,20171011
2000,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Jose Luis ÂÂJoeÂÂ Camahort","reform",FALSE,"total",96552,10623608,FALSE,20171011
2000,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Medea Susan Benjamin","green",FALSE,"total",326828,10623608,FALSE,20171011
2000,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Tom Campbell","republican",FALSE,"total",3886853,10623608,FALSE,20171011
2000,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Joseph I. Lieberman","democrat",FALSE,"total",828902,1311261,FALSE,20171011
2000,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Phil Giordano","republican",FALSE,"total",448077,1311261,FALSE,20171011
2000,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Willdey J. Moore","libertarian",FALSE,"total",8773,1311261,FALSE,20171011
2000,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"William Kozak, Jr.","concerned citizens",FALSE,"total",25509,1311261,FALSE,20171011
2000,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"J. Burke Morrison","libertarian",FALSE,"total",1103,326993,FALSE,20171011
2000,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"Mark E. Dankof","constitution",FALSE,"total",1044,326993,FALSE,20171011
2000,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"Robert Mattson","natural law",FALSE,"total",389,326993,FALSE,20171011
2000,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"Thomas R. Carper","democrat",FALSE,"total",181566,326993,FALSE,20171011
2000,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"William V. Roth, Jr.","republican",FALSE,"total",142891,326993,FALSE,20171011
2000,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",88,5856731,FALSE,20171011
2000,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Andy Martin","independent",FALSE,"total",15889,5856731,FALSE,20171011
2000,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Bill McCollum","republican",FALSE,"total",2705348,5856731,FALSE,20171011
2000,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Bill Nelson","democrat",FALSE,"total",2989487,5856731,FALSE,20171011
2000,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Darrell L. McCormick","independent",FALSE,"total",21664,5856731,FALSE,20171011
