"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1988,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",32,1164539,FALSE,20171011
1988,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Dennis DeConcini","democrat",FALSE,"total",660403,1164539,FALSE,20171011
1988,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Ed Finkelstein","new alliance",FALSE,"total",5195,1164539,FALSE,20171011
1988,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Keith DeGreen","republican",FALSE,"total",478060,1164539,FALSE,20171011
1988,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Rick Tompkins","libertarian",FALSE,"total",20849,1164539,FALSE,20171011
1988,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",51,9743598,FALSE,20171011
1988,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Jack Dean","libertarian",FALSE,"total",79997,9743598,FALSE,20171011
1988,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Leo McCarthy","democrat",FALSE,"total",4287253,9743598,FALSE,20171011
1988,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"M. Elizabeth Munoz","peace and freedom",FALSE,"total",166600,9743598,FALSE,20171011
1988,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Merton D. Short","independent",FALSE,"total",66288,9743598,FALSE,20171011
1988,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Pete Wilson","republican",FALSE,"total",5143409,9743598,FALSE,20171011
1988,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",10,1383526,FALSE,20171011
1988,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Howard Avory Grayson, Jr.","libertarian",FALSE,"total",12409,1383526,FALSE,20171011
1988,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Joe Lieberman","democrat",FALSE,"total",688499,1383526,FALSE,20171011
1988,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Lowell P. Weicher, Jr.","republican",FALSE,"total",678454,1383526,FALSE,20171011
1988,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Melissa M. Fisher","new alliance",FALSE,"total",4154,1383526,FALSE,20171011
1988,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"S. B. Woo","democrat",FALSE,"total",92378,243493,FALSE,20171011
1988,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"William V. Roth, Jr.","republican",FALSE,"total",151115,243493,FALSE,20171011
1988,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Adam Straus","",TRUE,"total",585,4068209,FALSE,20171011
1988,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Buddy MacKay","democrat",FALSE,"total",2016553,4068209,FALSE,20171011
1988,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Connie Mack","republican",FALSE,"total",2051071,4068209,FALSE,20171011
1988,"Hawaii","HI",15,95,82,"US Senate","statewide","gen",FALSE,"Ken Schoolland","libertarian",FALSE,"total",8948,323876,FALSE,20171011
