"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1998,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"","",TRUE,"total",692,113564,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"Sonny Callahan","republican",FALSE,"total",112872,113564,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"","",TRUE,"total",105,189669,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Joe Fondren","democrat",FALSE,"total",58136,189669,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Terry Everett","republican",FALSE,"total",131428,189669,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"","",TRUE,"total",129,175217,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Bob Riley","republican",FALSE,"total",101731,175217,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Joe Turnham","democrat",FALSE,"total",73357,175217,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"","",TRUE,"total",114,188476,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Don Bevill","democrat",FALSE,"total",82065,188476,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Robert B. Aderholt","republican",FALSE,"total",106297,188476,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"","",TRUE,"total",135,193490,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Gil Aust","republican",FALSE,"total",58536,193490,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Robert E. (Bud) Cramer, Jr.","democrat",FALSE,"total",134819,193490,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"","",TRUE,"total",164,215582,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Donna Wesson Smalley","democrat",FALSE,"total",60657,215582,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Spencer Bachus","republican",FALSE,"total",154761,215582,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"","",TRUE,"total",2750,139181,FALSE,20171005
1998,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Earl F. Hilliard","democrat",FALSE,"total",136431,139181,FALSE,20171005
1998,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"","",TRUE,"total",469,223300,FALSE,20171005
1998,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Don Young","republican",FALSE,"total",139676,223300,FALSE,20171005
1998,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Jim Duncan","democrat",FALSE,"total",77232,223300,FALSE,20171005
1998,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"John J. G. ""Johnny"" Grames","green",FALSE,"total",5923,223300,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,"David Mendoza","democrat",FALSE,"total",54108,152948,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,"Matt Salmon","republican",FALSE,"total",98840,152948,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Ed Barron","republican",FALSE,"total",23628,84363,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Ed Pastor","democrat",FALSE,"total",57178,84363,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Gregoy Schultz","reform",FALSE,"total",911,84363,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Rick Duncan","libertarian",FALSE,"total",2646,84363,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,"","",TRUE,"total",26,204623,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,"Bob Stump","republican",FALSE,"total",137618,204623,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,"Stuart Marc Starky","democrat",FALSE,"total",66979,204623,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Doug Quelland","independent",FALSE,"total",2757,158822,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Eric Ehst","democrat",FALSE,"total",49538,158822,FALSE,20171005
1998,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Ernest Hancock","libertarian",FALSE,"total",3805,158822,FALSE,20171005
