"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
2012,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"","",TRUE,"total",4302,200676,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"Jo Bonner","republican",FALSE,"total",196374,200676,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"","",TRUE,"total",270,283953,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Martha Roby","republican",FALSE,"total",180591,283953,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Therese Ford","democrat",FALSE,"total",103092,283953,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"","",TRUE,"total",483,273930,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"John Andrew Harris","democrat",FALSE,"total",98141,273930,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Mike Rogers","republican",FALSE,"total",175306,273930,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"","",TRUE,"total",341,269118,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Daniel H. Boman","democrat",FALSE,"total",69706,269118,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Robert B. Aderholt","republican",FALSE,"total",199071,269118,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"","",TRUE,"total",336,291293,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Charlie L. Holley","democrat",FALSE,"total",101772,291293,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Mo Brooks","republican",FALSE,"total",189185,291293,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"","",TRUE,"total",573,308102,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Penny H. Bailey","democrat",FALSE,"total",88267,308102,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Spencer Bachus","republican",FALSE,"total",219262,308102,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"","",TRUE,"total",203,306558,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Don Chamberlain","republican",FALSE,"total",73835,306558,FALSE,20171005
2012,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Terri A. Sewell","democrat",FALSE,"total",232520,306558,FALSE,20171005
2012,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"","",TRUE,"total",964,289804,FALSE,20171005
2012,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Don Young","republican",FALSE,"total",185296,289804,FALSE,20171005
2012,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Jim C. McDermott","libertarian",FALSE,"total",15028,289804,FALSE,20171005
2012,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Sharon M. Cissna","democrat",FALSE,"total",82927,289804,FALSE,20171005
2012,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Ted Gianoutsos","nominated by petition",FALSE,"total",5589,289804,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,"Ann Kirkpatrick","democrat",FALSE,"total",122774,251595,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,"Jonathan Paton","republican",FALSE,"total",113594,251595,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,"Kim Allen","libertarian",FALSE,"total",15227,251595,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Anthony Prowell","libertarian",TRUE,"total",57,292279,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Martha McSally","republican",FALSE,"total",144884,292279,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Ron Barber","democrat",FALSE,"total",147338,292279,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,"Blanca Guerra","libertarian",FALSE,"total",7567,168698,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,"Gabriela Saucedo Mercer","republican",FALSE,"total",62663,168698,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,"RaÂ£l M. Grijalva","democrat",FALSE,"total",98468,168698,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Joe Pamelia","libertarian",FALSE,"total",9306,243760,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Johnnie Robinson","democrat",FALSE,"total",69154,243760,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Paul A. Gosar","republican",FALSE,"total",162907,243760,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Richard Grayson","americans elect",FALSE,"total",2393,243760,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",5,"gen",FALSE,"Matt Salmon","republican",FALSE,"total",183470,273059,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",5,"gen",FALSE,"Spencer Morgan","democrat",FALSE,"total",89589,273059,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",6,"gen",FALSE,"David Schweikert","republican",FALSE,"total",179706,293177,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",6,"gen",FALSE,"Jack Anderson","libertarian",FALSE,"total",10167,293177,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",6,"gen",FALSE,"James Ketover","",TRUE,"total",1,293177,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",6,"gen",FALSE,"Mark Salazar","green",FALSE,"total",5637,293177,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",6,"gen",FALSE,"Matt Jette","democrat",FALSE,"total",97666,293177,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",7,"gen",FALSE,"Ed Pastor","democrat",FALSE,"total",104489,127827,FALSE,20171005
2012,"Arizona","AZ",4,86,61,"US House",7,"gen",FALSE,"Joe Cobb","libertarian",FALSE,"total",23338,127827,FALSE,20171005
