"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1994,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",58,1119060,FALSE,20171011
1994,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Jon Kyl","republican",FALSE,"total",600999,1119060,FALSE,20171011
1994,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Sam Coppersmith","democrat",FALSE,"total",442510,1119060,FALSE,20171011
1994,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Scott Grainger","libertarian",FALSE,"total",75493,1119060,FALSE,20171011
1994,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",173,8514089,FALSE,20171011
1994,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Barbara Blong","green",FALSE,"total",140567,8514089,FALSE,20171011
1994,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Dianne Feinstein","democrat",FALSE,"total",3979152,8514089,FALSE,20171011
1994,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Elizabeth Cervantes Barron","peace and freedom",FALSE,"total",255301,8514089,FALSE,20171011
1994,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Michael Huffington","republican",FALSE,"total",3817025,8514089,FALSE,20171011
1994,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Paul Meeuwenberg","american independent",FALSE,"total",142771,8514089,FALSE,20171011
1994,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Richard Benjamin Boddie","libertarian",FALSE,"total",179100,8514089,FALSE,20171011
1994,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Gary R. Garneau","concerned citizens",FALSE,"total",20989,1079664,FALSE,20171011
1994,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Jerry Labriola","republican",FALSE,"total",334833,1079664,FALSE,20171011
1994,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Joseph I. Lieberman","a connecticut party",FALSE,"total",280049,1079664,FALSE,20171011
1994,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Joseph I. Lieberman","democrat",FALSE,"total",443793,1079664,FALSE,20171011
1994,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"Charles M. Oberly","democrat",FALSE,"total",84540,199000,FALSE,20171011
1994,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"John C. Dierickx","libertarian",FALSE,"total",3386,199000,FALSE,20171011
1994,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"William V. Roth, Jr.","republican",FALSE,"total",111074,199000,FALSE,20171011
