"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1984,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"Albert Lee Smith","republican",FALSE,"total",498508,1371234,FALSE,20171011
1984,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"Howell Heflin","democrat",FALSE,"total",860535,1371234,FALSE,20171011
1984,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"S. D. (Yana) Davis","libertarian",FALSE,"total",12191,1371234,FALSE,20171011
1984,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"John E. Havelock","democrat",FALSE,"total",58804,206438,FALSE,20171011
1984,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Other","",FALSE,"total",715,206438,FALSE,20171011
1984,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Ted Stevens","republican",FALSE,"total",146919,206438,FALSE,20171011
1984,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"David Pryor","democrat",FALSE,"total",502341,875956,FALSE,20171011
1984,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"Ed Bethune","republican",FALSE,"total",373615,875956,FALSE,20171011
1984,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Craig Green","libertarian",FALSE,"total",11077,1297809,FALSE,20171011
1984,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"David Martin","socialist workers",FALSE,"total",2208,1297809,FALSE,20171011
1984,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Earl Higgerson","prohibition",FALSE,"total",1376,1297809,FALSE,20171011
1984,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Nancy Dick","democrat",FALSE,"total",449327,1297809,FALSE,20171011
1984,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"William L. ""Bill"" Armstrong","republican",FALSE,"total",833821,1297809,FALSE,20171011
1984,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"John M. Burris","republican",FALSE,"total",98101,245932,FALSE,20171011
1984,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"Joseph R. Biden Jr.","democrat",FALSE,"total",147831,245932,FALSE,20171011
1984,"Georgia","GA",13,58,44,"US Senate","statewide","gen",FALSE,"Mike Hicks","republican",FALSE,"total",337196,1681344,FALSE,20171011
1984,"Georgia","GA",13,58,44,"US Senate","statewide","gen",FALSE,"Other","",FALSE,"total",44,1681344,FALSE,20171011
1984,"Georgia","GA",13,58,44,"US Senate","statewide","gen",FALSE,"Sam Nunn","democrat",FALSE,"total",1344104,1681344,FALSE,20171011
1984,"Idaho","ID",16,82,63,"US Senate","statewide","gen",FALSE,"Donald B. Billings","libertarian",FALSE,"total",7384,406168,FALSE,20171011
1984,"Idaho","ID",16,82,63,"US Senate","statewide","gen",FALSE,"James A. McClure","republican",FALSE,"total",293193,406168,FALSE,20171011
1984,"Idaho","ID",16,82,63,"US Senate","statewide","gen",FALSE,"Peter M. Busch","democrat",FALSE,"total",105591,406168,FALSE,20171011
1984,"Illinois","IL",17,33,21,"US Senate","statewide","gen",FALSE,"Charles H. Percy","republican",FALSE,"total",2308039,4787335,FALSE,20171011
1984,"Illinois","IL",17,33,21,"US Senate","statewide","gen",FALSE,"Ishmael Flory","communist",FALSE,"total",4802,4787335,FALSE,20171011
1984,"Illinois","IL",17,33,21,"US Senate","statewide","gen",FALSE,"Marjorie H. Pries","citizens",FALSE,"total",12366,4787335,FALSE,20171011
1984,"Illinois","IL",17,33,21,"US Senate","statewide","gen",FALSE,"Nelson Gonzalez","socialist workers",FALSE,"total",4913,4787335,FALSE,20171011
1984,"Illinois","IL",17,33,21,"US Senate","statewide","gen",FALSE,"Other","",FALSE,"total",273,4787335,FALSE,20171011
1984,"Illinois","IL",17,33,21,"US Senate","statewide","gen",FALSE,"Paul Simon","democrat",FALSE,"total",2397165,4787335,FALSE,20171011
1984,"Illinois","IL",17,33,21,"US Senate","statewide","gen",FALSE,"Steven I. Givot","libertarian",FALSE,"total",59777,4787335,FALSE,20171011
1984,"Iowa","IA",19,42,31,"US Senate","statewide","gen",FALSE,"Garry De Young","independent",FALSE,"total",11014,1292700,FALSE,20171011
1984,"Iowa","IA",19,42,31,"US Senate","statewide","gen",FALSE,"Other","",FALSE,"total",422,1292700,FALSE,20171011
1984,"Iowa","IA",19,42,31,"US Senate","statewide","gen",FALSE,"Roger W. Jepsen","republican",FALSE,"total",564381,1292700,FALSE,20171011
1984,"Iowa","IA",19,42,31,"US Senate","statewide","gen",FALSE,"Tom Harkin","democrat",FALSE,"total",716883,1292700,FALSE,20171011
1984,"Kansas","KS",20,47,32,"US Senate","statewide","gen",FALSE,"Douglas N. Merritt","libertarian",FALSE,"total",6755,996729,FALSE,20171011
1984,"Kansas","KS",20,47,32,"US Senate","statewide","gen",FALSE,"Freda H. Steele","prohibition",FALSE,"total",4610,996729,FALSE,20171011
1984,"Kansas","KS",20,47,32,"US Senate","statewide","gen",FALSE,"James R. Maher","democrat",FALSE,"total",211664,996729,FALSE,20171011
1984,"Kansas","KS",20,47,32,"US Senate","statewide","gen",FALSE,"Lucille Bieger","communist",FALSE,"total",9380,996729,FALSE,20171011
1984,"Kansas","KS",20,47,32,"US Senate","statewide","gen",FALSE,"Marian Ruck Jackson","american",FALSE,"total",6918,996729,FALSE,20171011
1984,"Kansas","KS",20,47,32,"US Senate","statewide","gen",FALSE,"Nancy Landon Kassebaum","republican",FALSE,"total",757402,996729,FALSE,20171011
1984,"Kentucky","KY",21,61,51,"US Senate","statewide","gen",FALSE,"Dave Welters","socialist workers",FALSE,"total",7696,1292407,FALSE,20171011
1984,"Kentucky","KY",21,61,51,"US Senate","statewide","gen",FALSE,"Mitch McConnell","democrat",FALSE,"total",644990,1292407,FALSE,20171011
1984,"Kentucky","KY",21,61,51,"US Senate","statewide","gen",FALSE,"Walter (Dee) Huddleston","democrat",FALSE,"total",639721,1292407,FALSE,20171011
1984,"Louisiana","LA",22,72,45,"US Senate","statewide","gen",FALSE,"J. Bennett Johnston Jr.","democrat",FALSE,"total",1,1,FALSE,20171011
1984,"Maine","ME",23,11,2,"US Senate","statewide","gen",FALSE,"Elizabeth H. Mitchell","democrat",FALSE,"total",142626,551406,FALSE,20171011
1984,"Maine","ME",23,11,2,"US Senate","statewide","gen",FALSE,"Other","",FALSE,"total",28,551406,FALSE,20171011
1984,"Maine","ME",23,11,2,"US Senate","statewide","gen",FALSE,"P. Ann Stoddard","constitutionalist",FALSE,"total",4338,551406,FALSE,20171011
1984,"Maine","ME",23,11,2,"US Senate","statewide","gen",FALSE,"William S. Cohen","republican",FALSE,"total",404414,551406,FALSE,20171011
1984,"Massachusetts","MA",25,14,3,"US Senate","statewide","gen",FALSE,"John F. Kerry","democrat",FALSE,"total",1393150,2530471,FALSE,20171011
1984,"Massachusetts","MA",25,14,3,"US Senate","statewide","gen",FALSE,"Other","",FALSE,"total",408,2530471,FALSE,20171011
1984,"Massachusetts","MA",25,14,3,"US Senate","statewide","gen",FALSE,"Raymond Shamie","republican",FALSE,"total",1136913,2530471,FALSE,20171011
1984,"Michigan","MI",26,34,23,"US Senate","statewide","gen",FALSE,"Arthur Richard Tisch","tisch independent citizens",FALSE,"total",22882,3700938,FALSE,20171011
1984,"Michigan","MI",26,34,23,"US Senate","statewide","gen",FALSE,"Carl Levin","democrat",FALSE,"total",1915831,3700938,FALSE,20171011
1984,"Michigan","MI",26,34,23,"US Senate","statewide","gen",FALSE,"Fred Mazelis","workers league",FALSE,"total",818,3700938,FALSE,20171011
1984,"Michigan","MI",26,34,23,"US Senate","statewide","gen",FALSE,"Helen Meyers","socialist workers",FALSE,"total",2686,3700938,FALSE,20171011
