"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1996,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"","",TRUE,"total",430,205417,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"Bob Burns","libertarian",FALSE,"total",3311,205417,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"Don Womack","democrat",FALSE,"total",69470,205417,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"Sonny Callahan","republican",FALSE,"total",132206,205417,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"","",TRUE,"total",260,209793,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Bob Gaines","democrat",FALSE,"total",74317,209793,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Michael Probst","libertarian",FALSE,"total",2653,209793,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Terry Everett","republican",FALSE,"total",132563,209793,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"","",TRUE,"total",51,195047,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Bob Riley","republican",FALSE,"total",98353,195047,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Lucy Lawrence","natural law",FALSE,"total",2335,195047,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Ralph ""R.E."" Stokes","libertarian",FALSE,"total",1983,195047,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"T. D. (Ted) Little","democrat",FALSE,"total",92325,195047,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"","",TRUE,"total",208,205917,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Alan Barksdale","libertarian",FALSE,"total",3718,205917,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Robert B. Aderholt","republican",FALSE,"total",102741,205917,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Robert T. (Bob) Wilson Jr.","democrat",FALSE,"total",99250,205917,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"","",TRUE,"total",38,205547,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Craig Goodrich","libertarian",FALSE,"total",1856,205547,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Robert E (Bud) Cramer Jr.","democrat",FALSE,"total",114442,205547,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Shirley J. Madison","natural law",FALSE,"total",2484,205547,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Wayne Parker","republican",FALSE,"total",86727,205547,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"","",TRUE,"total",80,254859,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Diane Susan Vogel","natural law",FALSE,"total",2113,254859,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Mary Lynn Bates","democrat",FALSE,"total",69592,254859,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Spencer Bachus","republican",FALSE,"total",180781,254859,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"T. Franklin Harris","libertarian",FALSE,"total",2293,254859,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"","",TRUE,"total",163,192113,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Earl F. Hilliard","democrat",FALSE,"total",136651,192113,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Joe Powell","republican",FALSE,"total",52142,192113,FALSE,20171005
1996,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Ken Hager","libertarian",FALSE,"total",3157,192113,FALSE,20171005
1996,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"","",TRUE,"total",222,233700,FALSE,20171005
1996,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Don Young","republican",FALSE,"total",138834,233700,FALSE,20171005
