"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
2010,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"Richard C. Shelby","republican",FALSE,"total",968181,1483800,FALSE,20171011
2010,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"William G. Barnes","democrat",FALSE,"total",515619,1483800,FALSE,20171011
2010,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",21,255503,FALSE,20171011
2010,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",61,255503,FALSE,20171011
2010,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Fredrick ""David"" Haase","libertarian",FALSE,"total",1459,255503,FALSE,20171011
2010,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Joe Miller","republican",FALSE,"total",90839,255503,FALSE,20171011
2010,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Lisa Murkowski","",TRUE,"total",101091,255503,FALSE,20171011
2010,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Other","",FALSE,"total",602,255503,FALSE,20171011
2010,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Scott T. McAdams","democrat",FALSE,"total",60045,255503,FALSE,20171011
2010,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Ted Gianoutsos","nonaffiliated",FALSE,"total",458,255503,FALSE,20171011
2010,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Tim Carter","nonaffiliated",FALSE,"total",927,255503,FALSE,20171011
2010,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"David F. Nolan","libertarian",FALSE,"total",80097,1708484,FALSE,20171011
2010,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Ian Gilyeat","",TRUE,"total",5938,1708484,FALSE,20171011
2010,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Jerry Joslyn","green",FALSE,"total",24603,1708484,FALSE,20171011
2010,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"John McCain","republican",FALSE,"total",1005615,1708484,FALSE,20171011
2010,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Loyd Ellis","",TRUE,"total",160,1708484,FALSE,20171011
2010,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Ray J. Caplette","",TRUE,"total",7,1708484,FALSE,20171011
2010,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Rodney Glassman","democrat",FALSE,"total",592011,1708484,FALSE,20171011
2010,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Santos Chavez","",TRUE,"total",39,1708484,FALSE,20171011
2010,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Sydney Dudikoff","",TRUE,"total",14,1708484,FALSE,20171011
2010,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",376,779957,FALSE,20171011
2010,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"Blanche L. Lincoln","democrat",FALSE,"total",288156,779957,FALSE,20171011
2010,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"John Boozman","republican",FALSE,"total",451618,779957,FALSE,20171011
2010,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"John Laney Gray III","green",FALSE,"total",14430,779957,FALSE,20171011
2010,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"Stephan ""Troublemaker"" Hercher","",TRUE,"total",143,779957,FALSE,20171011
2010,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"Trevor Drown","independent",FALSE,"total",25234,779957,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Barbara Boxer","democrat",FALSE,"total",5218441,10000160,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Carly Fiorina","republican",FALSE,"total",4217366,10000160,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Connor Vlakancic","",TRUE,"total",11,10000160,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Duane Roberts","green",FALSE,"total",128510,10000160,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Edward C. Noonan","american independent",FALSE,"total",125441,10000160,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Gail K. Lightfoot","libertarian",FALSE,"total",175242,10000160,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Hans J. Kugler","",TRUE,"total",5,10000160,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"James E. Harris","",TRUE,"total",41,10000160,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Jerry Leon Carroll","",TRUE,"total",10,10000160,FALSE,20171011
2010,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Marsha Feinland","peace and freedom",FALSE,"total",135093,10000160,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Bob Kinsey","green",FALSE,"total",38768,1772286,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Bruce E. Lohmiller","",TRUE,"total",10,1772286,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Charley Miller","unaffiliated",FALSE,"total",11330,1772286,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"J. Moromisato","unaffiliated",FALSE,"total",5767,1772286,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Jason Napolitano","independent reform",FALSE,"total",19415,1772286,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Ken Buck","republican",FALSE,"total",822731,1772286,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Maclyn ""Mac"" Stringer","libertarian",FALSE,"total",22589,1772286,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Michael F. Bennet","democrat",FALSE,"total",851590,1772286,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Michele M. Newman","",TRUE,"total",19,1772286,FALSE,20171011
2010,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Robert Rank","",TRUE,"total",67,1772286,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Brian K. Hill","",TRUE,"total",559,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Carl E. Vassar","",TRUE,"total",31,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Dave Olszta","",TRUE,"total",5,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Jay J. Giles","",TRUE,"total",17,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Jeff Russell","",TRUE,"total",45,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"John Mertens","connecticut for lieberman",FALSE,"total",6735,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"John Traceski","",TRUE,"total",15,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Linda E. McMahon","republican",FALSE,"total",498341,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Matthew Coleman","",TRUE,"total",7,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Richard Blumenthal","democrat",FALSE,"total",605204,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Richard Blumenthal","working families",FALSE,"total",30836,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Todd Vachon","",TRUE,"total",45,1153115,FALSE,20171011
2010,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Warren B. Mosler","independent",FALSE,"total",11275,1153115,FALSE,20171011
2010,"Delaware","DE",10,51,11,"US Senate","statewide","gen",TRUE,"Christine O'Donnell","republican",FALSE,"total",123053,307402,FALSE,20171011
2010,"Delaware","DE",10,51,11,"US Senate","statewide","gen",TRUE,"Christopher A. Coons","democrat",FALSE,"total",174012,307402,FALSE,20171011
2010,"Delaware","DE",10,51,11,"US Senate","statewide","gen",TRUE,"Glenn A. Miller","independent party of delaware",FALSE,"total",8201,307402,FALSE,20171011
2010,"Delaware","DE",10,51,11,"US Senate","statewide","gen",TRUE,"James W. Rash","libertarian",FALSE,"total",2101,307402,FALSE,20171011
2010,"Delaware","DE",10,51,11,"US Senate","statewide","gen",TRUE,"Maurice F. Bourgeois","",TRUE,"total",25,307402,FALSE,20171011
2010,"Delaware","DE",10,51,11,"US Senate","statewide","gen",TRUE,"Samtra Devard","",TRUE,"total",10,307402,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Alexander Andrew Snitker","libertarian",FALSE,"total",24850,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Belinda Gail Quarterman-Noah","",TRUE,"total",18,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Bernie DeCastro","constitution party of florida",FALSE,"total",4792,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Bobbie Bean","no party affiliation",FALSE,"total",4301,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Bruce Ray Riggs","no party affiliation",FALSE,"total",3647,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Carol Ann Joyce LaRosa","",TRUE,"total",2,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Charlie Crist","no party affiliation",FALSE,"total",1607549,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"George Drake","",TRUE,"total",13,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Howard Knepper","",TRUE,"total",4,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Kendrick B. Meek","democrat",FALSE,"total",1092936,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Lewis Jerome Armstrong","no party affiliation",FALSE,"total",4443,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Marco Rubio","republican",FALSE,"total",2645743,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Piotr Blass","",TRUE,"total",47,5411106,FALSE,20171011
2010,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Richard Lock","",TRUE,"total",18,5411106,FALSE,20171011
