"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1986,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"H. L. ""Sonny"" Callahan","republican",FALSE,"total",96469,96469,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Bill Dickinson","republican",FALSE,"total",115302,172870,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Mercer Stone","democrat",FALSE,"total",57568,172870,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Bill Nichols","democrat",FALSE,"total",115127,142896,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"White Guerin","republican",FALSE,"total",27769,142896,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Al DeShazo","republican",FALSE,"total",38588,171469,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Tom Bevill","democrat",FALSE,"total",132881,171469,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Herb McCarley","republican",FALSE,"total",33528,158934,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Ronnie Flippo","democrat",FALSE,"total",125406,158934,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Ben Erdreich","democrat",FALSE,"total",139608,191976,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"L. Morgan William","republican",FALSE,"total",51924,191976,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Martin J. Boyers","socialist workers",FALSE,"total",444,191976,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Bill McFarland","republican",FALSE,"total",72777,180903,FALSE,20171005
1986,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Claude Harris","democrat",FALSE,"total",108126,180903,FALSE,20171005
1986,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"","",TRUE,"total",243,180277,FALSE,20171005
1986,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Betty (Belle Blue) Breck","libertarian",FALSE,"total",4182,180277,FALSE,20171005
