"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1978,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"Jack Edwards","republican",FALSE,"total",71711,112161,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",1,"gen",FALSE,"L. W. Noonan","democrat",FALSE,"total",40450,112161,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"Wendell Mitchell","democrat",FALSE,"total",49341,107265,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",2,"gen",FALSE,"William L. ""Bill"" Dickinson","republican",FALSE,"total",57924,107265,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"","",TRUE,"total",2,74897,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",3,"gen",FALSE,"Bill Nichols","democrat",FALSE,"total",74895,74897,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"","",TRUE,"total",1,87381,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",4,"gen",FALSE,"Tom Bevill","democrat",FALSE,"total",87380,87381,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"","",TRUE,"total",1,71236,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Harvey Nicholas Crumhorn","libertarian",FALSE,"total",2250,71236,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",5,"gen",FALSE,"Ronnie G. Flippo","democrat",FALSE,"total",68985,71236,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"Don Hawkins","democrat",FALSE,"total",40771,106471,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",6,"gen",FALSE,"John H. Buchanan Jr.","republican",FALSE,"total",65700,106471,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Fulton Gray","conservative",FALSE,"total",3285,82868,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Jim Scruggs","republican",FALSE,"total",1841,82868,FALSE,20171005
1978,"Alabama","AL",1,63,41,"US House",7,"gen",FALSE,"Richard C. Shelby","democrat",FALSE,"total",77742,82868,FALSE,20171005
1978,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"","",TRUE,"total",200,124187,FALSE,20171005
1978,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Don Young","republican",FALSE,"total",68811,124187,FALSE,20171005
1978,"Alaska","AK",2,94,81,"US House",0,"gen",FALSE,"Patrick Rodey","democrat",FALSE,"total",55176,124187,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,"John J. Rhodes","republican",FALSE,"total",81108,114286,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",1,"gen",FALSE,"Ken Graves","democrat",FALSE,"total",33178,114286,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Betsy McDonald","socialist workers",FALSE,"total",1220,129197,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Joe Bach","libertarian",FALSE,"total",1402,129197,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Morris K. Udall","democrat",FALSE,"total",67878,129197,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",2,"gen",FALSE,"Tom Richey","republican",FALSE,"total",58697,129197,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,"Bob Stump","democrat",FALSE,"total",111850,131663,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",3,"gen",FALSE,"Kathleen Cooke","libertarian",FALSE,"total",19813,131663,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Eldon Rudd","republican",FALSE,"total",90768,143836,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Lawrence W. Jerome","libertarian",FALSE,"total",4407,143836,FALSE,20171005
1978,"Arizona","AZ",4,86,61,"US House",4,"gen",FALSE,"Michael McCormick","democrat",FALSE,"total",48661,143836,FALSE,20171005
1978,"Arkansas","AR",5,71,42,"US House",1,"gen",FALSE,"Bill Alexander","democrat",FALSE,"total",1,1,FALSE,20171005
1978,"Arkansas","AR",5,71,42,"US House",2,"gen",FALSE,"Benton Douglas Brandon Jr. ","democrat",FALSE,"total",62140,127425,FALSE,20171005
1978,"Arkansas","AR",5,71,42,"US House",2,"gen",FALSE,"Edwin R. Bethune Jr.","republican",FALSE,"total",65285,127425,FALSE,20171005
1978,"Arkansas","AR",5,71,42,"US House",3,"gen",FALSE,"John Paul Hammerschmidt","republican",FALSE,"total",130086,165834,FALSE,20171005
1978,"Arkansas","AR",5,71,42,"US House",3,"gen",FALSE,"William Curtis Mears","democrat",FALSE,"total",35748,165834,FALSE,20171005
1978,"Arkansas","AR",5,71,42,"US House",4,"gen",FALSE,"Beryl Anthony Jr. ","democrat",FALSE,"total",1,1,FALSE,20171005
1978,"California","CA",6,93,71,"US House",1,"gen",FALSE,"Harold T. Johnson","democrat",FALSE,"total",125122,210812,FALSE,20171005
1978,"California","CA",6,93,71,"US House",1,"gen",FALSE,"James E. Taylor","republican",FALSE,"total",85690,210812,FALSE,20171005
1978,"California","CA",6,93,71,"US House",10,"gen",FALSE,"Don Edwards","democrat",FALSE,"total",84488,125862,FALSE,20171005
1978,"California","CA",6,93,71,"US House",10,"gen",FALSE,"Rudy Hansen","republican",FALSE,"total",41374,125862,FALSE,20171005
1978,"California","CA",6,93,71,"US House",11,"gen",FALSE,"Dave Welch","republican",FALSE,"total",54621,153464,FALSE,20171005
1978,"California","CA",6,93,71,"US House",11,"gen",FALSE,"Leo J. Ryan","democrat",FALSE,"total",92882,153464,FALSE,20171005
1978,"California","CA",6,93,71,"US House",11,"gen",FALSE,"Nicholas Waeil Kudrovzeff","american independent",FALSE,"total",5961,153464,FALSE,20171005
1978,"California","CA",6,93,71,"US House",12,"gen",FALSE,"Adele Fumino","peace and freedom",FALSE,"total",3022,160085,FALSE,20171005
