"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1980,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"Jeremiah Denton","republican",FALSE,"total",650362,1296757,FALSE,20171011
1980,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"Jim Folsom Jr.","democrat",FALSE,"total",610175,1296757,FALSE,20171011
1980,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"Jim Partain","statesman",FALSE,"total",2649,1296757,FALSE,20171011
1980,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"Michael R.A. Erdey","conservative",FALSE,"total",15989,1296757,FALSE,20171011
1980,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"Mohammed Oliver","socialist workers",FALSE,"total",1511,1296757,FALSE,20171011
1980,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"Sallie M. Hadnott","national democratic party of alabama",FALSE,"total",2973,1296757,FALSE,20171011
1980,"Alabama","AL",1,63,41,"US Senate","statewide","gen",FALSE,"William A. Crew","libertarian",FALSE,"total",13098,1296757,FALSE,20171011
1980,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",596,156762,FALSE,20171011
1980,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Clark S. Gruening","democrat",FALSE,"total",72007,156762,FALSE,20171011
1980,"Alaska","AK",2,94,81,"US Senate","statewide","gen",FALSE,"Frank H. Murkowski","republican",FALSE,"total",84159,156762,FALSE,20171011
1980,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"","",TRUE,"total",13,874238,FALSE,20171011
1980,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Barry Goldwater","republican",FALSE,"total",432371,874238,FALSE,20171011
1980,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Bill Schulz","democrat",FALSE,"total",422972,874238,FALSE,20171011
1980,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Fred R. Esser","libertarian",FALSE,"total",12008,874238,FALSE,20171011
1980,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Josefina Otero","socialist workers",FALSE,"total",3266,874238,FALSE,20171011
1980,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Lorenzo Torrez","people before profits",FALSE,"total",3608,874238,FALSE,20171011
1980,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"Bill Clark","republican",FALSE,"total",330576,808812,FALSE,20171011
1980,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"Dale Bumpers","democrat",FALSE,"total",477905,808812,FALSE,20171011
1980,"Arkansas","AR",5,71,42,"US Senate","statewide","gen",FALSE,"Walter T. Mac McCarty","",TRUE,"total",331,808812,FALSE,20171011
1980,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Alan Cranston","democrat",FALSE,"total",4704098,8324012,FALSE,20171011
1980,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"David Bergland","libertarian",FALSE,"total",202410,8324012,FALSE,20171011
1980,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"David Wald","peace and freedom",FALSE,"total",196260,8324012,FALSE,20171011
1980,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"James C. (Jim) Griffin","american independent",FALSE,"total",129573,8324012,FALSE,20171011
1980,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Paul Gann","republican",FALSE,"total",3091671,8324012,FALSE,20171011
1980,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Earl Higgerson","statesman",FALSE,"total",7265,1173142,FALSE,20171011
1980,"Colorado","CO",8,84,62,"US Senate","statewide","gen",FALSE,"Gary Hart","democrat",FALSE,"total",590501,1173142,FALSE,20171011
